EDOC-2026-010014,app/static/document_uploads/approved/EDOC-2026-010014.pdf,MARK_SUB,I Internal Marks,Report of M.Sc. Mathematics student's first internal marks.,2026101@gmail.com,Shreya Mishra,2026101,PG_MSC_MATH,hod,office_staff,Approved,"",2026-02-24 19:32:46.368081
EDOC-2026-010001,app/static/document_uploads/approved/EDOC-2026-010001.pdf,EVE_REQ,Cultural Event – “Kala Utsav”,"A celebration of art, music, dance, and drama to showcase students’ creative talents.",2026301@gmail.com,Vijay Sharma,2026301,UG_BCOM,student,office_staff,Approved,"",2026-02-19 19:16:01.565697
EDOC-2026-010006,app/static/document_uploads/pending/EDOC-2026-010006.pdf,LEA_REQ,PGCET Exam,"On 20/03/2026, I am attending the PGCET exam, so I am requesting a leave on the date mentioned.",2026301@gmail.com,Vijay Sharma,2026301,UG_BCOM,student,hod,Rejected,Denied!,2026-02-21 09:56:53.756429
EDOC-2026-010003,app/static/document_uploads/pending/EDOC-2026-010003.pdf,DOC_VER,SSP Scholarship,I want college verification to submit the SSP Scholarship.,2026301@gmail.com,Vijay Sharma,2026301,UG_BCOM,student,office_staff,Rejected,Invalid Documents,2026-02-19 19:21:49.91363
EDOC-2026-010002,app/static/document_uploads/approved/EDOC-2026-010002.pdf,EVE_REQ,Sports Event – “Sports Fiesta”,An inter-departmental sports competition to promote physical fitness and teamwork among students.,2026301@gmail.com,Vijay Sharma,2026301,UG_BCOM,student,office_staff,Approved,"",2026-02-19 19:19:12.960939
EDOC-2026-010025,app/static/document_uploads/approved/EDOC-2026-010025.pdf,LEA_REQ,leave,leave,2026301@gmail.com,Vijay Sharma,2026301,PG_MSC_MATH,student,hod,Approved,"",2026-03-05 10:34:05.167384
EDOC-2026-010008,app/static/document_uploads/approved/EDOC-2026-010008.pdf,LEA_REQ,Attend Marriage,"As mentioned, on 5th March 2026, I have to attend a wedding event as a photographer. So, I am requesting a leave on the mentioned date. Thank You.",2026301@gmail.com,Vijay Sharma,2026301,UG_BCOM,student,hod,Approved,"",2026-02-21 10:30:51.702789
EDOC-2026-010004,app/static/document_uploads/approved/EDOC-2026-010004.pdf,DOC_VER,Student Bus Pass,I want college verification to get student bus pass.,2026301@gmail.com,Vijay Sharma,2026301,UG_BCOM,student,office_staff,Approved,"",2026-02-19 19:22:52.644562
EDOC-2026-010009,app/static/document_uploads/pending/EDOC-2026-010009.pdf,DOC_VER,Student Bus Pass,Bus pass,2026301@gmail.com,Vijay Sharma,2026301,UG_BCOM,student,office_staff,Rejected,abcd,2026-02-24 11:59:20.778271
EDOC-2026-010005,app/static/document_uploads/approved/EDOC-2026-010005.pdf,DOC_VER,Student Bus Pass,I want college verification to get student bus pass.,2026301@gmail.com,Vijay Sharma,2026301,UG_BCOM,student,office_staff,Approved,"",2026-02-19 19:31:59.655543
