2026001,2026001@gmail.com,Sandeep Nair,1996-12-09,9123456789,Male,OFFICE,$2b$12$26SWBnHXC/lLIpnV373uxOnryv8ZdiLXcanQrjS6barvFTeUU3SvK,office_staff,2026-05-03 00:00:00
2026002,2026002@gmail.com,Kavya Iyer,2001-02-02,9789012345,Female,OFFICE,$2b$12$Bjjokjj3r3LEEi7VF2t4Le7iMPnkkaGH3QnzcJL/AEWgOKzWf1imi,office_staff,2026-05-03 11:22:19.211379
2026101,2026101@gmail.com,Rahul Sharma,1994-03-15,9876543210,Male,UG_BCOM,$2b$12$/B6pnXjasCqfG47WH02k2uhv4tFT4TsW52DztDKQx14TPelae0g6C,hod,2026-05-03 11:41:45.358573
2026102,2026102@gmail.com,Priya Verma,2000-07-22,9123456780,Female,PG_MA_ENG,$2b$12$.RojujEkCxVte02UCTQM8uf9y9q3DFY.0us1J4WwyoB9Hb79qYN4K,hod,2026-05-03 11:45:19.222461
2026103,2026103@gmail.com,Neha Gupta,1992-04-16,9012345678,Female,PG_MBA,$2b$12$mmXYI0P6GS7hiSOFDci3i.GGUnhj6KGRzGqxr2NwViq495kulrcs.,hod,2026-05-03 11:56:27.508817
2026204,2026204@gmail.com,,,9098765432,,,,faculty,2026-05-03 12:08:07.875718
2026205,2026205@gmail.com,,,9871234560,,,,faculty,2026-05-03 12:08:47.901233
2026201,2026201@gmail.com,Ankit Singh,2002-11-05,9988776655,Male,UG_BCOM,$2b$12$M4lU4khwd7xkQoUTFbe13.BjDBDydRtoVu98G/QjPxKBZJa94aLhK,faculty,2026-05-03 12:07:10.311492
2026202,2026202@gmail.com,Arjun Patel,1999-11-06,9765432109,Male,UG_BCOM,$2b$12$wG8LhXUL6v2mpPTWcGb/B.QhM.9m5byUGFRJMxJOSB8bTIaz.Ovti,faculty,2026-05-03 12:07:34.241072
2026203,2026203@gmail.com,Sneha Reddy,2003-07-31,9345678901,Female,PG_MBA,$2b$12$qXtEuNau1RueOwYgHFGALOdQJIeKelOpBAd7R/phBg7LZJW9EEl7e,faculty,2026-05-03 12:07:47.712246
2026304,2026304@gmail.com,,,9890123456,,,,student,2026-05-03 12:26:25.135111
2026301,2026301@gmail.com,Rohith Das,2007-08-06,9955667788,Male,UG_BCOM,$2b$12$wm6idWPqGczwdStbtb2Dj.hYk2zlqEryq64bjZZqeXQdO/hiZ9K5y,student,2026-05-03 12:25:31.022483
2026308,2026308@gmail.com,Rovan Chris,2005-03-27,9965070477,Male,PG_MBA,$2b$12$LXiCHhxQZoRYOVmC39hQsOdNyc2VNMadB6tkrhTdgLdOUY6Z8CETi,student,2026-05-03 12:27:27.623908
2026307,2026307@gmail.com,,,9723456108,,,,student,2026-05-03 12:27:15.238388
2026303,2026303@gmail.com,Aisha Khan,2005-09-27,9734561280,Female,UG_BCOM,$2b$12$CRgpAT.sdEQRwV7PnUuh9O0/q.9bMyUn4eMjnZJPR6CQD8lNOkMla,student,2026-05-03 12:26:05.222554
2026302,2026302@gmail.com,Vivek Kumar,2004-04-06,9823456710,Male,UG_BCOM,$2b$12$OdCAyJeOiL0tkLDivJAaFOUiz0B8.WTr/e5/752.K52//qnLNUVPK,student,2026-05-03 12:25:49.455457
2026305,2026305@gmail.com,Nikhil Chatterjee,2007-03-09,9745632108,Male,PG_MA_ENG,$2b$12$KPE11rfSpP86mCdcuuHhW.b/1nYfC5/5c10buPo/d0dyYMrI4D7Ci,student,2026-05-03 12:26:39.380356
2026306,2026306@gmail.com,Aditya Kulkarni,2004-05-24,9812345679,Male,PG_MBA,$2b$12$a/bOHV6Cc/YVDk89bPgmYu24TqYQzeSdRHdgaQOqlWAlSTU4M6DAK,student,2026-05-03 12:26:51.085803
